employee_id,fullname,rating,years_of_service_months,job_level,SEA,CEX,QDD,iq,Papi_G,Papi_T,position_id,division_id,department_id,directorate_id,grade_id,company_id,education_id,major_id,area_id
EMP100047,Hadi Pradana,1.0,58,Middle,1.0,1.0,1.0,110.0,3.0,6.0,2,5,2,1,1,3,3,5,2
EMP100048,Adit Halim,3.0,50,Middle,4.0,3.0,3.0,125.0,9.0,5.0,4,4,5,3,1,3,4,6,4
EMP100049,Rizki Halim Siregar,4.0,35,Middle,5.0,5.0,4.0,133.0,5.0,3.0,5,1,1,1,3,1,4,6,4
EMP100050,Joko Ridwan,5.0,69,Senior,5.0,5.0,5.0,131.0,2.0,3.0,4,5,3,3,1,4,2,2,3
EMP100051,Ari Mahardika Nugroho,2.0,98,Senior,1.0,1.0,2.0,110.0,1.0,5.0,5,4,1,3,1,4,3,5,4
EMP100052,Sari Yudhistira Mahendra,5.0,23,Middle,4.0,5.0,5.0,126.0,6.0,3.0,4,1,2,2,3,1,3,3,4
EMP100053,Anisa Pamungkas,4.0,52,Middle,5.0,4.0,3.0,140.0,5.0,6.0,1,3,3,1,3,1,3,5,3
EMP100054,Nugroho Maulida,5.0,22,Middle,5.0,5.0,3.0,88.0,4.0,2.0,4,5,3,1,1,2,2,3,4
EMP100055,Putri Nugroho,4.0,42,Middle,3.0,5.0,4.0,124.0,3.0,6.0,6,4,1,1,2,1,4,5,2
EMP100056,Ayunda Ramadhan,3.0,96,Senior,3.0,3.0,4.0,109.0,2.0,2.0,1,3,4,2,1,4,3,3,4
EMP100057,Nurlita Kusuma,3.0,60,Senior,4.0,3.0,3.0,123.0,8.0,2.0,6,4,2,3,3,3,1,4,2
EMP100058,Adit Anugrah Halim,4.0,66,Senior,1.0,1.0,1.0,109.0,5.0,5.0,2,1,4,2,3,3,2,4,3
EMP100059,Fajar Dharma Subekti,5.0,75,Senior,5.0,3.0,5.0,92.0,1.0,5.0,3,4,2,1,3,2,4,6,3
EMP100060,Wulan Maulida,5.0,44,Middle,3.0,3.0,3.0,109.0,1.0,8.0,3,1,4,3,2,1,2,2,4
EMP100061,Oktavia Anugrah Setiawan,3.0,46,Middle,3.0,3.0,3.0,109.0,5.0,8.0,6,1,4,1,3,4,1,5,3
EMP100062,Valdo Jatmiko Mahendra,3.0,40,Middle,3.0,3.0,4.0,89.0,3.0,9.0,4,3,6,2,2,3,3,2,3
EMP100063,Ayu Lestari Pradana,3.0,42,Middle,3.0,2.0,4.0,109.0,3.0,2.0,1,2,4,1,1,2,3,5,1
EMP100064,Kurnia Purnama,2.0,38,Middle,2.0,2.0,2.0,96.0,1.0,5.0,6,4,5,3,3,1,1,6,2
EMP100065,Rani Saputra,4.0,24,Middle,4.0,5.0,3.0,90.0,5.0,8.0,1,4,1,2,2,1,1,4,4
EMP100066,Tania Lestari Setiawan,3.0,65,Senior,3.0,3.0,3.0,84.0,5.0,8.0,3,2,1,1,1,1,1,1,4
EMP100067,Indra Zulfikar,3.0,89,Senior,3.0,3.0,3.0,101.0,5.0,3.0,3,2,1,1,3,1,1,1,3
EMP100068,Nabila Qolbi Suharto,1.0,68,Senior,2.0,1.0,3.0,109.0,2.0,4.0,3,5,2,2,1,4,4,1,1
EMP100071,Rafa Situmorang,3.0,72,Senior,3.0,2.0,4.0,107.0,2.0,9.0,4,4,3,3,1,2,2,4,3
EMP100072,Nugroho Hartanto,2.0,45,Middle,3.0,2.0,2.0,87.0,5.0,6.0,3,3,5,1,1,2,3,6,1
EMP100073,Dimas Halim Ananda,2.0,85,Senior,1.0,2.0,2.0,104.0,5.0,9.0,3,5,3,1,3,2,3,1,3
EMP100074,Ari Utama Putra,3.0,32,Middle,3.0,3.0,4.0,131.0,6.0,1.0,2,3,1,2,3,4,1,3,1
EMP100075,Rizki Halim Zulfikar,5.0,24,Middle,4.0,5.0,5.0,109.0,8.0,2.0,5,5,4,3,1,3,4,4,1
EMP100076,Rizki Wijaya,4.0,4,Junior,4.0,4.0,4.0,80.0,6.0,9.0,6,4,5,2,1,1,3,1,3
EMP100077,Novi Setiawan,2.0,35,Middle,3.0,3.0,2.0,135.0,6.0,7.0,3,1,3,3,1,3,3,5,4
EMP100078,Indra Anggara,3.0,39,Middle,3.0,3.0,2.0,84.0,6.0,1.0,6,1,3,3,3,1,4,1,1
EMP100079,Novi Hasibuan,3.0,67,Senior,3.0,3.0,4.0,122.0,2.0,9.0,3,4,3,1,1,4,1,5,4
EMP100080,Andi Mahardika Handayani,3.0,43,Middle,3.0,3.0,3.0,87.0,6.0,4.0,2,3,3,3,2,2,4,2,1
EMP100081,Ari Yulianto,4.0,85,Senior,4.0,5.0,4.0,138.0,6.0,6.0,6,3,1,3,3,1,3,3,4
EMP100082,Budi Dharma Lukman,4.0,63,Senior,5.0,3.0,3.0,133.0,2.0,3.0,1,2,3,3,3,3,4,1,4
EMP100084,Dian Rachman Handayani,4.0,16,Junior,4.0,5.0,4.0,118.0,3.0,5.0,6,1,2,3,2,1,1,2,3
EMP100085,Ahmad Rohman,4.0,22,Middle,4.0,4.0,4.0,109.0,4.0,4.0,2,4,3,2,3,2,2,1,4
EMP100086,Rani Syahputra,4.0,23,Middle,4.0,4.0,4.0,110.0,7.0,3.0,4,5,6,1,3,3,3,3,3
EMP100087,Rizka Ananda,1.0,12,Junior,1.0,1.0,1.0,109.0,8.0,5.0,1,2,6,2,3,2,3,3,1
EMP100088,Nadia Saputra Mahendra,2.0,38,Middle,1.0,3.0,2.0,83.0,5.0,3.0,3,4,2,1,1,2,3,6,4
EMP100090,Maya Pratomo,4.0,27,Middle,5.0,3.0,5.0,109.0,7.0,3.0,6,4,5,2,2,2,2,5,4
EMP100091,Oka Candra Firmansyah,4.0,10,Junior,3.0,4.0,3.0,102.0,1.0,3.0,3,1,3,1,2,4,3,1,1
EMP100092,Ahmad Indrawan,3.0,68,Senior,3.0,3.0,4.0,109.0,5.0,5.0,2,1,4,3,3,2,2,2,1
EMP100093,Nadia Lestari Utami,2.0,57,Middle,2.0,1.0,2.0,93.0,3.0,8.0,2,3,5,3,2,1,2,6,1
EMP100094,Nadia Utama Yulianto,4.0,33,Middle,4.0,4.0,4.0,95.0,8.0,6.0,1,3,3,3,1,4,2,4,1
EMP100095,Fitri Pamungkas,3.0,41,Middle,4.0,2.0,4.0,109.0,5.0,2.0,3,5,4,2,2,2,3,5,4
EMP100096,Rama Dharma Wibowo,2.0,77,Senior,2.0,1.0,3.0,109.0,3.0,1.0,2,2,6,1,2,4,3,4,3
EMP100097,Valdo Subekti,3.0,64,Senior,3.0,4.0,3.0,109.0,5.0,5.0,6,1,2,3,1,1,2,3,1
EMP100098,Indra Hidayat,3.0,57,Middle,3.0,4.0,4.0,128.0,7.0,6.0,3,1,3,1,3,3,2,1,4
EMP100099,Tania Suharto,3.0,46,Middle,4.0,3.0,2.0,109.0,4.0,7.0,4,2,4,2,1,3,2,6,4
EMP100100,Intan Rachman Suharto,1.0,55,Middle,1.0,1.0,3.0,109.0,3.0,3.0,1,1,4,1,2,4,1,2,4
EMP100101,Yoga Pratomo,4.0,51,Middle,5.0,3.0,4.0,81.0,5.0,7.0,4,1,1,2,3,3,4,5,1
EMP100103,Ayu Ginting,5.0,32,Middle,5.0,3.0,5.0,105.0,2.0,2.0,2,1,3,3,2,4,1,1,1
EMP100104,Budi Pratama,1.0,81,Senior,2.0,1.0,1.0,102.0,9.0,9.0,4,3,3,2,1,4,4,6,4
EMP100105,Maya Yulianto,1.0,16,Junior,1.0,2.0,2.0,109.0,9.0,7.0,1,4,4,2,1,2,4,1,1
EMP100106,Valdo Wijaya Wijaya,1.0,64,Senior,1.0,2.0,1.0,102.0,3.0,4.0,1,5,6,3,3,3,4,1,3
EMP100108,Dinda Erlangga Handayani,4.0,58,Middle,3.0,4.0,4.0,129.0,4.0,3.0,3,5,3,3,2,4,2,6,2
EMP100109,Dinda Wibowo,1.0,55,Middle,3.0,1.0,2.0,91.0,6.0,5.0,2,4,3,3,3,3,4,4,1
EMP100110,Citra Hartanto,3.0,46,Middle,3.0,2.0,3.0,97.0,7.0,9.0,5,5,3,2,3,3,3,4,2
EMP100111,Rendra Herlambang,2.0,44,Middle,2.0,2.0,3.0,83.0,7.0,3.0,3,4,6,1,3,2,3,5,2
EMP100112,Adit Mahardika Pratama,2.0,36,Middle,3.0,2.0,3.0,132.0,4.0,7.0,3,4,1,3,1,4,1,3,4
EMP100114,Vania Fadillah Fauziah,5.0,15,Junior,5.0,4.0,3.0,109.0,2.0,8.0,4,5,4,2,2,2,4,2,2
EMP100115,Satya Yudhistira Lukman,2.0,41,Middle,1.0,1.0,1.0,90.0,4.0,3.0,1,4,2,2,1,2,3,4,1
EMP100117,Prasetyo Gunawan,4.0,39,Middle,3.0,4.0,4.0,86.0,2.0,4.0,4,2,6,2,2,4,2,6,4
EMP100119,Iman Ginting,4.0,1,Junior,4.0,4.0,5.0,102.0,9.0,4.0,6,3,1,1,2,2,2,3,2
EMP100120,Iman Maulida,2.0,52,Middle,3.0,3.0,2.0,127.0,5.0,5.0,2,2,1,1,2,4,1,3,2
EMP100121,Bayu Hidayat,3.0,56,Middle,2.0,3.0,3.0,84.0,5.0,8.0,4,2,3,3,1,1,2,4,3
EMP100122,Rizki Simanjuntak,1.0,10,Junior,1.0,2.0,1.0,109.0,6.0,9.0,6,1,4,3,3,2,2,2,3
EMP100123,Kurnia Jatmiko Permadi,2.0,54,Middle,2.0,2.0,3.0,107.0,2.0,2.0,5,1,2,1,2,2,4,2,1
EMP100124,Maya Nabila Salsabila,2.0,52,Middle,3.0,2.0,2.0,109.0,4.0,1.0,2,5,4,2,1,2,1,2,4
EMP100125,Nabila Lestari Santoso,4.0,45,Middle,4.0,3.0,4.0,109.0,9.0,7.0,5,3,1,2,3,2,1,1,4
EMP100126,Vania Siregar,3.0,67,Senior,4.0,3.0,3.0,120.0,7.0,2.0,5,1,5,3,3,3,3,3,4
EMP100127,Lestari Gunawan,3.0,26,Middle,3.0,2.0,4.0,109.0,6.0,6.0,6,1,4,1,3,1,3,6,3
EMP100128,Ahmad Siregar,2.0,58,Middle,2.0,3.0,2.0,117.0,3.0,5.0,4,4,6,2,2,1,2,3,1
EMP100129,Dian Utama Kusuma,2.0,17,Junior,3.0,2.0,2.0,109.0,5.0,6.0,2,1,1,1,2,4,3,2,4
EMP100130,Citra Rahmawati,4.0,68,Senior,5.0,4.0,3.0,84.0,5.0,1.0,1,2,1,3,1,2,4,3,3
EMP100131,Ayunda Adi Hartanto,3.0,58,Middle,3.0,2.0,3.0,102.0,8.0,5.0,4,4,5,1,3,1,3,3,1
EMP100132,Maya Ramadhan,2.0,46,Middle,2.0,2.0,2.0,118.0,6.0,8.0,2,4,5,2,3,1,2,6,2
EMP100133,Rendra Handayani,3.0,30,Middle,3.0,2.0,3.0,104.0,4.0,3.0,4,1,2,3,1,2,3,1,2
EMP100134,Rifqi Wijaya,3.0,61,Senior,4.0,3.0,3.0,119.0,3.0,9.0,5,5,3,2,1,4,1,5,2
EMP100135,Indra Wijaya Ridwan,4.0,14,Junior,3.0,4.0,4.0,113.0,2.0,2.0,4,5,1,3,1,1,1,6,3
EMP100137,Rizky Jatmiko Hasibuan,2.0,124,Senior,2.0,3.0,3.0,125.0,5.0,3.0,1,4,5,2,1,1,1,1,2
EMP100138,Rani Zulfikar,4.0,42,Middle,5.0,5.0,5.0,109.0,2.0,2.0,3,1,4,2,3,2,4,5,1
EMP100139,Nadia Herlambang,3.0,78,Senior,2.0,3.0,3.0,109.0,9.0,3.0,4,2,4,3,3,1,2,3,2
EMP100140,Yuni Siregar,4.0,54,Middle,3.0,3.0,4.0,109.0,5.0,3.0,6,2,3,1,1,4,4,6,2
EMP100141,Fitri Utami,4.0,67,Senior,3.0,1.0,3.0,124.0,9.0,6.0,6,1,2,3,3,4,3,1,3
EMP100142,Indra Putra,4.0,64,Senior,5.0,3.0,4.0,109.0,5.0,1.0,4,1,4,3,1,1,1,5,3
EMP100143,Nadia Pramudita Wibowo,1.0,22,Middle,1.0,1.0,0.0,122.0,4.0,6.0,2,3,5,3,2,1,2,3,3
EMP100144,Bella Nabila Purnama,2.0,20,Middle,1.0,2.0,2.0,109.0,5.0,5.0,4,1,2,3,2,2,2,6,2
EMP100145,Novi Purnama,1.0,41,Middle,1.0,3.0,3.0,107.0,6.0,4.0,5,4,1,1,1,3,4,5,1
EMP100147,Hana Ridwan,3.0,7,Junior,3.0,4.0,3.0,109.0,9.0,6.0,6,5,2,1,2,4,2,6,3
EMP100148,Galih Zulfikar Hasibuan,1.0,100,Senior,1.0,2.0,1.0,120.0,1.0,9.0,1,4,5,1,1,2,4,2,1
EMP100149,Teguh Saputra Hasibuan,4.0,60,Senior,2.0,2.0,2.0,122.0,9.0,1.0,4,2,5,3,1,4,4,3,2
EMP100151,Wahyu Permadi,2.0,42,Middle,2.0,2.0,2.0,123.0,7.0,2.0,3,5,6,3,1,4,4,1,1
EMP100152,Satya Siregar,4.0,59,Middle,5.0,5.0,3.0,93.0,1.0,7.0,2,5,2,3,3,3,2,5,4
EMP100153,Arif Herlambang,2.0,66,Senior,3.0,2.0,1.0,109.0,3.0,2.0,3,3,2,3,1,4,3,6,1
EMP100154,Kurnia Maulida,2.0,39,Middle,3.0,2.0,1.0,117.0,5.0,6.0,2,1,1,2,2,1,4,4,2
EMP100155,Citra Jatmiko Siregar,2.0,74,Senior,2.0,3.0,2.0,109.0,4.0,2.0,3,3,4,3,1,1,4,2,3
EMP100156,Yoga Anugrah Lestari,4.0,66,Senior,3.0,5.0,3.0,80.0,6.0,3.0,4,2,3,3,1,2,4,1,1
EMP100157,Maya Zulfikar Purnama,2.0,15,Junior,1.0,2.0,2.0,118.0,9.0,6.0,1,2,2,2,3,2,1,2,1
EMP100160,Nugroho Rachman Salsabila,3.0,83,Senior,3.0,3.0,4.0,133.0,2.0,4.0,1,1,6,2,2,4,4,4,1
EMP100161,Wulan Saputra Pratama,1.0,78,Senior,1.0,1.0,1.0,113.0,4.0,1.0,6,5,3,3,1,4,2,4,2
EMP100162,Eko Adi Permadi,1.0,38,Middle,1.0,2.0,1.0,138.0,4.0,5.0,5,3,5,1,2,3,4,5,2
EMP100163,Oktavia Pramudita Sinaga,3.0,74,Senior,2.0,1.0,1.0,137.0,2.0,9.0,2,2,6,3,1,2,3,2,4
EMP100164,Wahyu Iqbal Pratomo,3.0,81,Senior,3.0,3.0,3.0,109.0,2.0,7.0,2,5,3,2,1,4,2,5,4
EMP100165,Kurnia Nugroho,4.0,18,Middle,4.0,4.0,4.0,123.0,5.0,4.0,6,5,1,1,3,4,3,6,4
EMP100166,Wahyu Yulianto,2.0,34,Middle,2.0,2.0,3.0,109.0,6.0,7.0,4,3,4,3,1,2,3,3,3
EMP100167,Eko Zulfikar,3.0,84,Senior,4.0,4.0,4.0,119.0,8.0,1.0,4,5,2,3,1,3,3,2,2
EMP100168,Wahyu Rachman Utami,1.0,77,Senior,1.0,1.0,3.0,114.0,1.0,5.0,3,4,2,1,3,1,2,3,2
EMP100170,Dinda Wijaya Zulfikar,3.0,103,Senior,3.0,3.0,2.0,109.0,7.0,9.0,1,1,4,3,1,4,1,5,4
EMP100171,Nadia Yulianto,2.0,44,Middle,3.0,1.0,3.0,136.0,5.0,6.0,2,5,3,3,3,1,3,2,1
EMP100172,Dinda Ridwan,4.0,15,Junior,4.0,3.0,4.0,115.0,9.0,8.0,6,2,3,1,3,3,3,6,4
EMP100173,Ahmad Wijaya,3.0,81,Senior,2.0,3.0,2.0,109.0,2.0,9.0,6,5,6,2,3,4,3,1,3
EMP100175,Budi Hasibuan,3.0,28,Middle,3.0,3.0,3.0,133.0,4.0,8.0,2,4,5,1,1,1,4,6,2
EMP100176,Fajar Firmansyah,3.0,10,Junior,4.0,2.0,2.0,134.0,5.0,6.0,6,3,3,1,1,3,1,4,3
EMP100178,Nurlita Siregar,4.0,56,Middle,3.0,4.0,5.0,106.0,4.0,4.0,4,2,1,3,1,3,2,3,3
EMP100179,Andi Santoso,3.0,41,Middle,3.0,4.0,3.0,109.0,5.0,8.0,5,5,4,2,3,2,3,3,1
EMP100180,Evi Kurniawan,3.0,44,Middle,4.0,4.0,3.0,101.0,2.0,9.0,1,1,1,2,1,2,4,4,1
EMP100181,Dewi Mahardika Salsabila,3.0,63,Senior,3.0,3.0,3.0,109.0,6.0,3.0,4,5,4,1,1,1,4,3,2
EMP100182,Joko Kusuma Maulana,2.0,49,Middle,1.0,2.0,3.0,109.0,3.0,6.0,4,5,4,3,1,3,2,6,3
EMP100183,Valdo Herlambang,3.0,16,Junior,3.0,2.0,3.0,109.0,9.0,1.0,2,5,4,2,3,1,4,6,1
EMP100184,Rizka Pamungkas,2.0,62,Senior,3.0,1.0,1.0,113.0,5.0,8.0,3,5,1,2,3,4,3,2,3
EMP100185,Yuni Anugrah Subekti,1.0,59,Middle,1.0,2.0,1.0,109.0,3.0,7.0,6,4,2,2,2,3,3,1,1
EMP100186,Rizki Halim,5.0,59,Middle,5.0,4.0,5.0,128.0,5.0,5.0,3,3,5,3,2,3,2,6,4
EMP100187,Ayu Tamba,2.0,39,Middle,2.0,1.0,3.0,88.0,6.0,5.0,6,5,6,2,1,2,2,1,4
EMP100188,Novi Pramudita Syahputra,4.0,7,Junior,4.0,4.0,4.0,92.0,4.0,7.0,1,4,1,3,3,3,3,1,3
EMP100189,Andi Ganesha Hartanto,2.0,78,Senior,2.0,2.0,3.0,129.0,7.0,6.0,1,2,3,2,3,3,4,6,3
EMP100190,Kartika Santoso,4.0,45,Middle,4.0,4.0,3.0,112.0,5.0,7.0,5,3,6,3,1,2,3,6,1
EMP100191,Cahyo Wijaya,1.0,61,Senior,1.0,1.0,1.0,138.0,7.0,3.0,5,4,1,1,1,3,2,4,1
EMP100193,Kurnia Anugrah Kurniawan,3.0,38,Middle,3.0,3.0,3.0,134.0,3.0,5.0,5,1,2,1,1,4,4,1,2
EMP100194,Arif Hasibuan,4.0,41,Middle,4.0,4.0,4.0,109.0,3.0,2.0,1,1,3,1,2,3,1,2,2
EMP100195,Fitri Purnama,3.0,29,Middle,3.0,3.0,4.0,124.0,1.0,1.0,3,1,6,1,2,3,4,3,3
EMP100196,Kurnia Situmorang,3.0,34,Middle,2.0,2.0,3.0,109.0,6.0,9.0,2,4,4,1,3,3,4,3,3
EMP100197,Fitri Santoso,3.0,15,Junior,3.0,3.0,3.0,83.0,2.0,8.0,4,4,5,1,3,1,1,3,4
EMP100199,Valdo Zulfikar Halim,4.0,70,Senior,3.0,3.0,4.0,97.0,1.0,7.0,1,2,5,3,2,1,3,4,3
EMP100200,Lestari Pratomo,3.0,46,Middle,3.0,4.0,3.0,102.0,1.0,4.0,5,2,2,2,2,4,2,3,1
EMP100201,Gita Ganesha Santoso,3.0,29,Middle,3.0,2.0,2.0,101.0,9.0,2.0,1,4,5,3,3,4,2,5,2
EMP100202,Rizky Anugrah Suharto,3.0,26,Middle,2.0,2.0,3.0,111.0,7.0,2.0,4,2,3,1,1,3,1,3,3
EMP100203,Teguh Kusuma Siregar,3.0,46,Middle,3.0,3.0,4.0,92.0,3.0,4.0,1,3,5,2,1,1,1,4,3
EMP100204,Utami Candra Ginting,3.0,75,Senior,4.0,4.0,3.0,109.0,7.0,3.0,4,5,4,2,1,1,2,3,4
EMP100205,Vania Adi Nugroho,3.0,12,Junior,4.0,3.0,3.0,139.0,4.0,8.0,3,4,2,1,3,4,2,5,3
EMP100206,Sari Pratomo,3.0,38,Middle,3.0,4.0,2.0,115.0,1.0,5.0,4,1,6,2,3,1,1,3,4
EMP100209,Nugroho Pamungkas,3.0,45,Middle,2.0,4.0,3.0,126.0,6.0,7.0,6,1,6,2,1,2,4,5,2
EMP100210,Zaki Jatmiko Sinaga,3.0,56,Middle,3.0,3.0,3.0,109.0,5.0,4.0,4,1,4,3,2,1,4,3,4
EMP100211,Dian Tri Pratomo,3.0,38,Middle,4.0,4.0,4.0,135.0,1.0,9.0,1,4,3,3,1,3,4,5,1
EMP100212,Galih Kurniawan,3.0,14,Junior,2.0,3.0,4.0,92.0,8.0,4.0,5,5,5,3,3,3,3,4,1
EMP100213,Rizky Permadi,3.0,59,Middle,3.0,4.0,4.0,94.0,6.0,5.0,4,2,6,2,3,4,3,1,2
EMP100214,Oktavia Subekti,2.0,16,Junior,2.0,2.0,1.0,109.0,6.0,6.0,5,4,4,2,3,1,2,1,1
EMP100215,Valdo Wijaya,2.0,97,Senior,3.0,1.0,3.0,105.0,2.0,9.0,1,3,1,1,1,2,3,4,2
EMP100216,Sari Ananda,3.0,10,Junior,2.0,3.0,4.0,111.0,8.0,6.0,5,5,6,1,2,4,4,4,1
EMP100217,Luthfi Purnama,1.0,35,Middle,1.0,3.0,2.0,109.0,6.0,6.0,1,4,5,3,1,2,1,2,3
EMP100218,Ayu Lukman,3.0,35,Middle,3.0,2.0,3.0,95.0,9.0,3.0,2,1,6,2,2,4,3,1,4
EMP100220,Rizka Adi Setiawan,4.0,63,Senior,4.0,5.0,5.0,84.0,2.0,3.0,6,3,6,3,1,2,4,5,2
EMP100221,Dimas Qolbi Maulana,2.0,3,Junior,3.0,3.0,2.0,119.0,5.0,2.0,2,3,3,3,1,4,1,1,4
EMP100222,Luthfi Wijaya,1.0,88,Senior,1.0,2.0,3.0,88.0,2.0,5.0,1,4,1,2,2,2,3,1,3
EMP100223,Utami Mahardika Rohman,1.0,2,Junior,1.0,1.0,1.0,96.0,6.0,6.0,2,4,3,3,3,4,4,3,3
EMP100224,Rafa Maulida,4.0,75,Senior,4.0,4.0,3.0,114.0,6.0,4.0,4,1,2,1,3,1,1,4,2
EMP100225,Fajar Purnama,2.0,48,Middle,2.0,1.0,3.0,123.0,2.0,4.0,6,1,3,1,3,3,3,2,1
EMP100226,Nabila Simanjuntak,3.0,11,Junior,2.0,3.0,3.0,124.0,4.0,9.0,4,1,3,1,1,2,2,4,1
EMP100228,Satya Candra Handayani,2.0,53,Middle,2.0,1.0,1.0,116.0,5.0,1.0,2,4,2,1,2,4,2,4,2
